#{"t_start": 1756622989.90913, "env_id": "None"}
r,l,t
507.359452,643,110.854951
460.831791,582,111.006339
426.454613,553,111.145248
470.183724,592,111.300322
453.215106,587,111.771685
517.832944,650,111.939385
505.177504,635,112.104737
518.042385,651,112.610798
440.128269,568,112.758192
422.271158,554,112.901344
515.081663,638,113.390641
478.18045,648,113.554336
447.080066,562,113.701924
446.060592,587,113.852607
450.121766,580,114.324949
482.555038,621,114.483351
479.871056,627,114.642945
395.732099,564,115.104911
445.085878,584,115.250639
494.167778,620,115.410434
462.360213,593,115.884668
448.997539,587,116.033697
463.174147,586,116.184927
435.337456,598,116.335646
478.940562,603,116.810442
494.610837,616,116.97164
468.790352,613,117.128868
464.445081,601,117.603496
465.514572,593,117.758603
453.14626,580,117.908921
483.566963,612,118.067588
447.023633,570,118.53879
480.74085,601,118.69668
461.713713,579,118.847741
500.581247,634,119.340829
495.852887,624,119.508236
482.056871,619,119.669061
472.556887,589,119.821568
445.27754,579,120.291516
494.15864,615,120.451314
456.395725,581,120.60341
451.952545,584,121.075153
446.576011,570,121.221402
430.103856,572,121.371621
458.669027,581,121.522833
448.532507,587,121.993375
486.728461,621,122.155569
469.286804,592,122.307676
473.581866,629,122.795731
487.320282,623,122.955558
484.781282,628,123.120563
429.063175,555,123.584878
469.93093,622,123.755467
475.426309,614,123.915481
467.507295,594,124.084474
458.295315,596,124.562357
424.216036,550,124.704068
461.870792,603,124.859196
464.718422,596,125.332809
484.319879,625,125.493179
431.262734,569,125.641337
447.925806,586,125.79329
475.519651,636,126.282934
482.74013,626,126.445765
486.444079,633,126.610684
485.68369,634,127.091978
432.388526,576,127.241669
493.356717,640,127.409697
494.558418,652,127.898273
537.536967,680,128.078691
485.769011,627,128.242204
478.726785,630,128.727657
510.964265,647,128.89813
497.403227,648,129.067852
449.53981,594,129.225889
454.658858,612,129.704526
482.020033,636,129.871487
488.764477,644,130.04014
477.001159,608,130.538892
520.311824,665,130.714214
506.696677,641,130.881555
522.669335,660,131.380855
471.894445,627,131.546659
520.913769,672,131.723401
522.777556,661,132.218267
494.871592,637,132.38713
492.06741,636,132.552809
517.034303,655,133.045924
495.873792,635,133.209891
484.84533,635,133.378985
541.212709,704,133.8901
526.445121,668,134.064668
478.399906,603,134.22248
473.85527,616,134.384952
497.60232,643,134.872858
508.051273,652,135.045873
564.488692,712,135.234707
504.728174,670,135.731063
515.388191,671,135.909018
465.328053,594,136.064326
508.454262,670,136.566723
487.398753,619,136.729031
498.045299,644,136.896267
503.622764,657,137.388548
480.220395,611,137.548737
513.989353,661,137.72444
552.215447,716,138.288577
567.145516,770,138.493711
544.881278,722,138.687424
562.68164,725,139.199786
538.244341,705,139.387681
542.336803,694,139.571197
520.449953,651,140.062225
541.877604,687,140.245459
513.433794,647,140.416579
554.237816,709,140.922513
513.980457,650,141.093971
546.144538,691,141.277784
495.962984,627,141.762742
534.763364,677,141.941653
485.01408,622,142.104973
528.56204,671,142.601833
448.765181,579,142.754484
519.440922,675,142.933884
526.135977,667,143.431005
512.947881,691,143.617905
501.511004,639,143.787782
552.603556,692,144.29163
520.314888,657,144.465608
549.608299,705,144.652492
530.930728,672,145.149496
531.705008,665,145.325372
537.603953,667,145.502758
551.643582,692,146.006675
554.379629,717,146.197317
515.265861,651,146.370344
557.467683,711,146.87829
521.029065,663,147.054498
528.540534,671,147.232013
406.745627,565,147.376485
552.911003,713,147.885268
573.750059,769,148.103354
543.032734,704,148.613609
552.773501,712,148.805724
541.972767,688,148.988099
532.211629,671,149.486512
492.111796,630,149.650521
515.212147,663,149.825882
523.661372,675,150.002536
465.644086,616,150.489007
547.09076,690,150.671969
522.444917,678,150.850302
506.714766,660,151.346
512.227002,649,151.518056
552.719222,701,151.703646
501.365985,635,152.19108
540.734427,724,152.384686
469.495384,619,152.548073
502.573079,647,153.038037
